item_a,item_b,orders_together,support,confidence_a_to_b,confidence_b_to_a,lift
Acco D-Ring Binder w/DublLock,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,2,0.00016,0.25,0.25,399.094
"Bevis Conference Table, Fully Assembled","Jiffy Mailers, Set of 50",2,0.00016,0.4,0.1538,392.954
"Bevis Conference Table, Fully Assembled","Motorola Audio Dock, with Caller ID",2,0.00016,0.4,0.1538,392.954
"Bevis Conference Table, Fully Assembled","Sharp Personal Copier, Laser",2,0.00016,0.4,0.1538,392.954
"Advantus Rubber Bands, 12 Pack","Chromcraft Coffee Table, Rectangular",2,0.00016,0.1176,0.5,375.618
"Chromcraft Coffee Table, Rectangular","Ikea Stackable Bookrack, Mobile",2,0.00016,0.5,0.1176,375.618
"Elite Scissors, Easy Grip","Hoover Stove, Silver",2,0.00016,0.2,0.2857,364.886
"Belkin Flash Drive, Programmable","Okidata Phone, Wireless",2,0.00016,0.1667,0.3333,354.75
"Hamilton Beach Stove, Black","Panasonic Inkjet, White",2,0.00016,0.1538,0.3333,327.462
"Bevis Conference Table, Fully Assembled","Memorex Flash Drive, USB",2,0.00016,0.4,0.125,319.275
"Dania Floating Shelf Set, Pine","Panasonic Printer, White",2,0.00016,0.2,0.25,319.275
"Breville Toaster, Black","Motorola Office Telephone, with Caller ID",2,0.00016,0.2222,0.2222,315.333
KI Adjustable-Height Table,Toshiba IPT2010-SD IP Telephone,2,0.00016,0.1429,0.3333,304.071
"Bevis Conference Table, Fully Assembled","Harbour Creations Swivel Stool, Set of Two",2,0.00016,0.4,0.1111,283.8
Eldon Wave Desk Accessories,Poly Designer Cover & Back,2,0.00016,0.1538,0.2857,280.681
"Cuisinart Microwave, White","KitchenAid Blender, Black",2,0.00016,0.25,0.1667,266.062
"Accos Staples, Metal","Jiffy Interoffice Envelope, Security-Tint",2,0.00016,0.1667,0.25,266.062
"Memorex Mouse, Bluetooth","Panasonic Inkjet, White",2,0.00016,0.125,0.3333,266.062
"Hamilton Beach Stove, Red","Hoover Microwave, White",2,0.00016,0.2857,0.1429,260.633
"Hamilton Beach Stove, Red","Novimex Shipping Labels, Adjustable",2,0.00016,0.2857,0.1429,260.633
"Ames Interoffice Envelope, Set of 50","Kraft Manila Envelope, with clear poly window",2,0.00016,0.25,0.1538,245.596
"Breville Refrigerator, White","Tenex Frame, Duo Pack",2,0.00016,0.2222,0.1667,236.5
"Hamilton Beach Coffee Grinder, White","Hewlett Ink, High-Speed",2,0.00016,0.2222,0.1667,236.5
"Eaton Parchment Paper, Premium","Hewlett Fax and Copier, High-Speed",2,0.00016,0.2222,0.1538,218.308
"Barricks Computer Table, Fully Assembled","Safco Floating Shelf Set, Mobile",2,0.00016,0.25,0.1333,212.85
"Cisco Headset, VoIP","Ikea Stackable Bookrack, Metal",2,0.00016,0.2222,0.1429,202.714
"Epson Receipt Printer, Red","Sanford Sketch Pad, Easy-Erase",2,0.00016,0.3333,0.0952,202.714
"Breville Toaster, Black","Sharp Fax Machine, Digital",2,0.00016,0.2222,0.1429,202.714
"Motorola Office Telephone, with Caller ID","Sharp Fax Machine, Digital",2,0.00016,0.2222,0.1429,202.714
"Apple Audio Dock, VoIP","Barricks Computer Table, Fully Assembled",2,0.00016,0.125,0.25,199.547
"Ames Interoffice Envelope, Set of 50","Novimex Steel Folding Chair, Adjustable",2,0.00016,0.25,0.125,199.547
"Jiffy Mailers, Security-Tint","KitchenAid Refrigerator, White",2,0.00016,0.1333,0.2222,189.2
"Fellowes Folders, Blue","Hamilton Beach Stove, Red",3,0.00023,0.1034,0.4286,188.734
"Jiffy Mailers, Set of 50","Memorex Flash Drive, USB",3,0.00023,0.2308,0.1875,184.197
"Bush Library with Doors, Pine","Bush Library with Doors, Traditional",2,0.00016,0.2857,0.1,182.443
"Ames Peel and Seal, Set of 50","StarTech Printer, Durable",2,0.00016,0.1,0.2857,182.443
"Bush Corner Shelving, Metal","Tenex Frame, Black",2,0.00016,0.1538,0.1818,178.615
"KitchenAid Blender, Black","SanDisk Note Cards, 8.5 x 11",2,0.00016,0.1667,0.1667,177.375
"Hoover Microwave, Red","Nokia Headset, Cordless",2,0.00016,0.25,0.1111,177.375
"KitchenAid Stove, Black","OIC Thumb Tacks, 12 Pack",2,0.00016,0.2222,0.125,177.375
"Breville Refrigerator, White","Kraft Mailers, Security-Tint",2,0.00016,0.2222,0.125,177.375
"Hewlett Fax and Copier, Laser","KitchenAid Stove, Black",2,0.00016,0.125,0.2222,177.375
"Fiskars Box Cutter, Serrated","Kleencut Box Cutter, Steel",2,0.00016,0.2,0.1333,170.28
"Canon Personal Copier, Color","KitchenAid Stove, Black",2,0.00016,0.1176,0.2222,166.941
"Hamilton Beach Stove, Red","Tenex Trays, Wire Frame",2,0.00016,0.2857,0.0909,165.857
"Cuisinart Microwave, Black","Safco Stackable Bookrack, Traditional",2,0.00016,0.1818,0.1429,165.857
"Deflect-O Clock, Black","Harbour Creations Bag Chairs, Set of Two",2,0.00016,0.1667,0.1538,163.731
"SAFCO Chairmat, Adjustable","Sharp Ink, Digital",2,0.00016,0.0769,0.3333,163.731
"Enermax Cards & Envelopes, 8.5 x 11","Sharp Personal Copier, High-Speed",2,0.00016,0.1538,0.1667,163.731
"Harbour Creations Shipping Labels, Laser Printer Compatible","Ikea Library with Doors, Metal",2,0.00016,0.1667,0.1538,163.731
"Epson Calculator, Wireless","Jiffy Mailers, with clear poly window",2,0.00016,0.1667,0.1538,163.731
"Jiffy Mailers, with clear poly window","Stiletto Trimmer, High Speed",2,0.00016,0.1538,0.1667,163.731
"Cisco Audio Dock, with Caller ID","Ikea Corner Shelving, Pine",2,0.00016,0.125,0.2,159.638
"Enermax Computer Printout Paper, Recycled","Ikea Classic Bookcase, Metal",2,0.00016,0.2222,0.1111,157.667
"Ames Mailers, Recycled","KitchenAid Stove, Black",2,0.00016,0.1111,0.2222,157.667
"Brother Fax and Copier, Color","SanDisk Message Books, Recycled",3,0.00023,0.1429,0.25,152.036
"Belkin Keyboard, Programmable","Novimex Executive Leather Armchair, Red",2,0.00016,0.25,0.0952,152.036
"Binney & Smith Pens, Easy-Erase","Konica Printer, Red",2,0.00016,0.0952,0.25,152.036
"Hon Bag Chairs, Black","Tenex Photo Frame, Duo Pack",2,0.00016,0.1538,0.1538,151.136
"Avery Shipping Labels, Laser Printer Compatible","Brother Fax Machine, Laser",2,0.00016,0.1538,0.1538,151.136
"Jiffy Mailers, Set of 50","Motorola Audio Dock, with Caller ID",2,0.00016,0.1538,0.1538,151.136
"Jiffy Mailers, Set of 50","Sharp Personal Copier, Laser",2,0.00016,0.1538,0.1538,151.136
"Motorola Audio Dock, with Caller ID","Sharp Personal Copier, Laser",2,0.00016,0.1538,0.1538,151.136
"Accos Rubber Bands, Metal","KitchenAid Refrigerator, White",2,0.00016,0.1053,0.2222,149.368
